line,score
340,1.1973491
102,1.1925654
447,1.1728172
237,1.1536815
45,1.1505675
207,1.122737
297,1.1222389
333,1.1203835
162,1.1099433
168,1.109622
280,1.1083065
78,1.10511
5,1.0893493
180,1.0854871
31,1.0814818
9,1.070364
244,1.0618191
97,1.0574119
449,1.0573621
339,1.0553312
35,1.0534896
405,1.0394908
454,1.0369812
384,1.0307477
59,1.0202067
193,1.0172931
567,1.0116147
471,1.010448
183,1.0045587
190,0.97491014
52,0.96840084
520,0.9494332
275,0.946979
110,0.9298052
267,0.8897543
47,0.8787776
403,0.86768293
116,0.84433526
159,0.83534974
483,0.8232404
273,0.81006753
77,0.80528414
326,0.803898
85,0.79490364
298,0.74207675
519,0.73095405
99,0.7262212
107,0.68907094
315,0.66996735
94,0.6302515
534,0.6294001
269,0.62360656
404,0.50355446
450,0.41602233
435,0.40341216
309,0.34940732
463,0.3187523
277,0.31408983
459,0.265117
303,0.24335547
295,0.20671892
430,0.0631623
383,0.035725005
535,0.021253962
568,0.0
560,0.0
559,0.0
557,0.0
577,0.0
569,0.0
571,0.0
536,0.0
548,0.0
111,0.0
433,0.0
562,0.0
429,0.0
576,0.0
574,0.0
441,0.0
195,0.0
453,0.0
452,0.0
408,0.0
455,0.0
409,0.0
451,0.0
421,0.0
57,0.0
105,0.0
101,0.0
416,0.0
461,0.0
372,0.0
373,0.0
465,0.0
371,0.0
573,0.0
572,0.0
551,0.0
553,0.0
555,0.0
549,0.0
565,0.0
566,0.0
356,0.0
397,0.0
395,0.0
390,0.0
382,0.0
385,0.0
377,0.0
381,0.0
479,0.0
481,0.0
362,0.0
368,0.0
353,0.0
348,0.0
70,0.0
79,0.0
497,0.0
496,0.0
498,0.0
499,0.0
503,0.0
504,0.0
500,0.0
502,0.0
509,0.0
505,0.0
482,0.0
148,0.0
154,0.0
158,0.0
476,0.0
478,0.0
294,0.0
322,0.0
319,0.0
318,0.0
238,0.0
310,0.0
304,0.0
296,0.0
512,0.0
124,0.0
260,0.0
261,0.0
305,0.0
308,0.0
510,0.0
511,0.0
88,0.0
288,0.0
263,0.0
262,0.0
290,0.0
92,0.0
272,0.0
90,0.0
282,0.0
514,0.0
531,0.0
521,0.0
533,0.0
542,0.0
561,0.0
581,0.0
